   wave             C        sig sigcal    lorange    hirange
3834.24     484.55417   7294.560 20.717    137.882   1094.955
3834.83     474.64331   4467.578 12.956    132.961   1035.604
3835.42      465.1388   3197.108  9.463    128.299    981.691
3836.01     456.01617   2477.060  7.456    123.879    932.531
 3836.6     447.25288   2014.444  6.184    119.684    887.546
3837.19     438.82811   1692.727  5.298    115.698    846.249
3837.78     430.72264   1456.404  4.646    111.909    808.223
3838.37     422.91866   1275.688  4.146    108.303    773.110
3838.96     415.39968   1133.168  3.739    104.869    740.601
3839.55     408.15037   1017.997  3.420    101.595    710.431
3840.14      401.1565    923.063  3.157     98.473    682.365
3840.73     394.40481    843.518  2.935     95.491    656.202
3841.32     387.88294    775.939  2.739     92.643    631.762
3841.91     381.57937    717.844  2.577     89.921    608.889
 3842.5     375.48333    667.391  2.436     87.316    587.442
3843.09     369.58474    623.183  2.306     84.822    567.299
3843.68     363.87419    584.142  2.196     82.434    548.350
3844.27     358.34281    549.425  2.099     80.144    530.495
3844.86     352.98233    518.360  2.006     77.948    513.648
3845.45     347.78496    490.407  1.927     75.841    497.729
3846.04     342.74336    465.129  1.856     73.818    482.667
3846.63     337.85064    442.164  1.786     71.874    468.398
3847.22     333.10033    421.214  1.727     70.005    454.863
3847.81     328.48628    402.028  1.668     68.208    442.011
 3848.4     324.00275    384.397  1.618     66.478    429.792
3848.99     319.64426    368.143  1.572     64.813    418.163
3849.59     315.40567    353.112  1.525     63.210    407.085
3850.18     311.28211    339.174  1.486     61.664    396.521
3850.77     307.26896    326.217  1.445     60.174    386.437
3851.36     303.36185    314.143  1.411     58.737    376.804
3851.95     299.55665    302.865  1.375     57.351    367.592
3852.54     295.84942    292.310  1.345     56.012    358.777
3853.13     292.23643    282.411  1.313     54.719    350.333
3853.73     288.71414    273.110  1.286     53.470    342.240
3854.32     285.27919    264.356  1.258     52.263    334.476
3854.91     281.92837    256.104  1.234     51.095    327.024
 3855.5     278.65863    248.312  1.209     49.966    319.865
3856.09     275.46708    240.944  1.188     48.873    312.983
3856.68     272.35094    233.966  1.165     47.815    306.363
3857.28     269.30758    227.350  1.146     46.791    299.991
3857.87     266.33448    221.069  1.125     45.799    293.854
3858.46     263.42925    215.098  1.108     44.837    287.939
3859.05     260.58959    209.416  1.089     43.905    282.236
3859.65     257.81331    204.002  1.071     43.002    276.734
3860.24     255.09832    198.840  1.056     42.125    271.423
3860.83     252.44261    193.911  1.039     41.274    266.293
3861.42     249.84427    189.202  1.025     40.449    261.335
3862.02     247.30147    184.697  1.010     39.647    256.542
3862.61     244.81244    180.386  0.996     38.869    251.906
 3863.2      242.3755    176.254  0.983     38.113    247.419
 3863.8     239.98905    172.293  0.970     37.378    243.075
3864.39     237.65152    168.491  0.957     36.664    238.867
3864.98     235.36144    164.841  0.946     35.970    234.790
3865.57     233.11737    161.332  0.934     35.295    230.836
3866.17     230.91796    157.958  0.922     34.638    227.002
3866.76     228.76188    154.710  0.911     33.999    223.282
3867.35     226.64786    151.583  0.902     33.377    219.671
3867.95      224.5747    148.570  0.891     32.771    216.165
3868.54     222.54123    145.664  0.881     32.182    212.759
3869.13     220.54631    142.861  0.873     31.608    209.449
3869.73     218.58887    140.156  0.863     31.048    206.232
3870.32     216.66786    137.542  0.854     30.503    203.104
3870.92     214.78228    135.017  0.845     29.972    200.060
3871.51     212.93116    132.575  0.837     29.454    197.099
 3872.1     211.11357    130.214  0.829     28.949    194.216
 3872.7      209.3286    127.927  0.821     28.457    191.409
3873.29      207.5754    125.714  0.813     27.976    188.676
3873.89     205.85312    123.570  0.806     27.507    186.012
3874.48     204.16095    121.492  0.798     27.050    183.416
3875.07     202.49812    119.477  0.791     26.604    180.885
3875.67     200.86387    117.523  0.785     26.168    178.418
3876.26     199.25748    115.627  0.778     25.742    176.011
3876.86     197.67823    113.786  0.771     25.326    173.662
3877.45     196.12545    111.998  0.765     24.920    171.370
3878.05     194.59849    110.261  0.759     24.523    169.132
3878.64     193.09671    108.573  0.752     24.136    166.947
3879.24     191.61948    106.932  0.746     23.757    164.813
3879.83     190.16623    105.336  0.741     23.386    162.729
3880.43     188.73636    103.783  0.735     23.024    160.691
3881.02     187.32933    102.272  0.730     22.670    158.700
3881.62     185.94459    100.801  0.725     22.324    156.754
3882.21     184.58162     99.368  0.719     21.985    154.850
3882.81     183.23991     97.972  0.714     21.653    152.988
 3883.4     181.91898     96.613  0.709     21.329    151.167
 3884.0     180.61834     95.287  0.704     21.011    149.385
3884.59     179.33753     93.995  0.699     20.701    147.640
3885.19     178.07611     92.734  0.695     20.396    145.933
3885.79     176.83363     91.505  0.690     20.098    144.261
3886.38     175.60969     90.305  0.685     19.807    142.624
3886.98     174.40386     89.134  0.681     19.521    141.020
3887.57     173.21576     87.990  0.677     19.241    139.449
3888.17     172.04499     86.874  0.672     18.967    137.910
3888.77     170.89119     85.783  0.668     18.698    136.401
3889.36     169.75398     84.717  0.663     18.434    134.922
3889.96     168.63301     83.676  0.659     18.176    133.473
3890.55     167.52795     82.657  0.655     17.923    132.051
3891.15     166.43845     81.662  0.652     17.675    130.656
3891.75     165.36419     80.689  0.648     17.432    129.289
3892.34     164.30486     79.736  0.644     17.193    127.947
3892.94     163.26014     78.805  0.641     16.959    126.630
3893.54     162.22975     77.893  0.637     16.730    125.338
3894.13     161.21338     77.000  0.634     16.505    124.070
3894.73     160.21076     76.127  0.630     16.284    122.824
3895.33     159.22161     75.271  0.626     16.067    121.602
3895.92     158.24566     74.433  0.623     15.854    120.401
3896.52     157.28266     73.612  0.620     15.645    119.222
3897.12     156.33234     72.809  0.617     15.440    118.063
3897.71     155.39446     72.021  0.614     15.239    116.925
3898.31     154.46878     71.248  0.610     15.041    115.807
3898.91     153.55507     70.491  0.607     14.847    114.708
3899.51     152.65309     69.749  0.604     14.656    113.628
 3900.1     151.76262     69.021  0.601     14.469    112.566
 3900.7     150.88344     68.307  0.598     14.285    111.523
 3901.3     150.01535     67.607  0.595     14.104    110.496
 3901.9     149.15814     66.919  0.592     13.927    109.487
3902.49      148.3116     66.245  0.590     13.752    108.494
3903.09     147.47553     65.583  0.586     13.581    107.518
3903.69     146.64975     64.934  0.584     13.412    106.557
3904.29     145.83407     64.296  0.581     13.246    105.612
3904.89     145.02831     63.670  0.579     13.084    104.682
3905.48     144.23228     63.055  0.576     12.923    103.766
3906.08     143.44581     62.450  0.573     12.766    102.866
3906.68     142.66874     61.857  0.571     12.611    101.979
3907.28     141.90089     61.274  0.568     12.459    101.106
3907.88     141.14211     60.701  0.566     12.309    100.246
3908.48     140.39224     60.139  0.563     12.162     99.400
3909.07     139.65111     59.585  0.561     12.017     98.566
3909.67     138.91859     59.041  0.559     11.874     97.745
3910.27     138.19452     58.507  0.556     11.734     96.936
3910.87     137.47876     57.981  0.554     11.596     96.140
3911.47     136.77116     57.464  0.552     11.460     95.355
3912.07      136.0716     56.955  0.549     11.326     94.581
3912.67     135.37993     56.455  0.547     11.194     93.819
3913.27     134.69602     55.963  0.545     11.065     93.068
3913.87     134.01975     55.478  0.543     10.937     92.328
3914.46     133.35099     55.002  0.541     10.811     91.598
3915.06     132.68961     54.533  0.538     10.688     90.878
3915.66      132.0355     54.072  0.536     10.566     90.169
3916.26     131.38853     53.618  0.534     10.446     89.470
3916.86     130.74859     53.170  0.532     10.328     88.780
3917.46     130.11557     52.730  0.530     10.211     88.100
3918.06     129.48936     52.297  0.528     10.097     87.429
3918.66     128.86985     51.870  0.526      9.984     86.767
3919.26     128.25693     51.449  0.524      9.873     86.115
3919.86     127.65051     51.035  0.522      9.763     85.471
3920.46     127.05047     50.627  0.520      9.655     84.835
3921.06     126.45671     50.225  0.518      9.548     84.208
3921.66     125.86915     49.829  0.517      9.443     83.590
3922.26     125.28769     49.439  0.515      9.340     82.979
3922.86     124.71223     49.054  0.513      9.238     82.376
3923.46     124.14268     48.675  0.511      9.138     81.782
3924.06     123.57895     48.302  0.509      9.039     81.195
3924.66     123.02095     47.933  0.508      8.941     80.615
3925.26      122.4686     47.570  0.506      8.845     80.043
3925.86     121.92181     47.212  0.504      8.750     79.478
3926.46      121.3805     46.859  0.502      8.656     78.920
3927.06      120.8446     46.511  0.500      8.564     78.369
3927.67     120.31401     46.168  0.499      8.473     77.824
3928.27     119.78866     45.829  0.497      8.383     77.287
3928.87     119.26848     45.496  0.495      8.294     76.756
3929.47     118.75338     45.166  0.494      8.207     76.232
3930.07     118.24331     44.841  0.492      8.120     75.714
3930.67     117.73817     44.520  0.491      8.035     75.202
3931.27     117.23791     44.204  0.489      7.951     74.696
3931.87     116.74246     43.892  0.488      7.869     74.196
3932.47     116.25174     43.583  0.486      7.787     73.703
3933.08     115.76569     43.279  0.485      7.706     73.215
3933.68     115.28424     42.979  0.483      7.627     72.732
3934.28     114.80733     42.683  0.481      7.548     72.256
3934.88      114.3349     42.390  0.480      7.470     71.785
3935.48     113.86688     42.101  0.479      7.394     71.319
3936.08     113.40322     41.816  0.477      7.318     70.858
3936.69     112.94385     41.534  0.476      7.244     70.403
3937.29     112.48871     41.256  0.474      7.170     69.953
3937.89     112.03775     40.982  0.473      7.097     69.508
3938.49     111.59091     40.710  0.471      7.025     69.068
3939.09     111.14813     40.442  0.470      6.954     68.633
 3939.7     110.70937     40.178  0.468      6.884     68.203
 3940.3     110.27456     39.917  0.467      6.815     67.777
 3940.9     109.84366     39.658  0.466      6.747     67.356
 3941.5     109.41661     39.403  0.465      6.679     66.940
3942.11     108.99336     39.151  0.463      6.613     66.528
3942.71     108.57386     38.902  0.462      6.547     66.121
3943.31     108.15807     38.656  0.460      6.482     65.718
3943.91     107.74593     38.412  0.459      6.417     65.319
3944.52      107.3374     38.172  0.458      6.354     64.925
3945.12     106.93242     37.935  0.457      6.291     64.534
3945.72     106.53097     37.699  0.455      6.230     64.148
3946.33     106.13298     37.467  0.454      6.182     63.766
3946.93     105.73842     37.238  0.453      6.136     63.387
3947.53     105.34724     37.011  0.452      6.089     63.013
3948.14      104.9594     36.787  0.450      6.043     62.642
3948.74     104.57486     36.565  0.449      5.998     62.276
3949.34     104.19357     36.345  0.448      5.953     61.913
3949.95      103.8155     36.129  0.447      5.908     61.553
3950.55      103.4406     35.914  0.446      5.864     61.198
3951.15     103.06884     35.702  0.444      5.821     60.845
3951.76     102.70018     35.492  0.443      5.778     60.497
3952.36     102.33458     35.284  0.442      5.735     60.151
3952.96       101.972     35.079  0.441      5.692     59.810
3953.57      101.6124     34.876  0.440      5.651     59.471
3954.17     101.25576     34.675  0.439      5.609     59.136
3954.78     100.90202     34.476  0.438      5.568     58.804
3955.38     100.55117     34.280  0.436      5.527     58.475
3955.98     100.20316     34.085  0.435      5.487     58.150
3956.59      99.85796     33.893  0.434      5.447     57.827
3957.19      99.51553     33.702  0.433      5.407     57.508
 3957.8      99.17585     33.514  0.432      5.368     57.192
 3958.4      98.83888     33.327  0.431      5.329     56.878
3959.01      98.50459     33.142  0.430      5.291     56.568
3959.61      98.17295     32.960  0.429      5.253     56.260
3960.21      97.84393     32.779  0.428      5.215     55.956
3960.82      97.51749     32.600  0.427      5.178     55.654
3961.42      97.19361     32.422  0.425      5.141     55.355
3962.03      96.87225     32.247  0.424      5.104     55.058
3962.63      96.55339     32.073  0.423      5.068     54.765
3963.24      96.23701     31.902  0.422      5.032     54.474
3963.84      95.92306     31.731  0.421      4.996     54.185
