    wave             C         sig   sigcal     lorange     hirange
 4282.59      47.22514       4.745    0.057       1.396       6.548
 4283.59      46.84605       4.680    0.057       1.379       6.442
 4284.58      46.47512       4.616    0.056       1.363       6.340
 4285.57       46.1121       4.555    0.056       1.348       6.240
 4286.56      45.75676       4.495    0.056       1.333       6.144
 4287.56      45.40889       4.437    0.055       1.318       6.050
 4288.55      45.06825       4.380    0.055       1.303       5.959
 4289.54      44.73466       4.326    0.055       1.289       5.871
 4290.53       44.4079       4.273    0.054       1.276       5.785
 4291.53      44.08779       4.220    0.054       1.262       5.702
 4292.52      43.77415       4.170    0.054       1.249       5.621
 4293.51      43.46679       4.121    0.054       1.236       5.542
  4294.5      43.16555       4.074    0.053       1.223       5.465
 4295.49      42.87027       4.027    0.053       1.211       5.391
 4296.48      42.58078       3.982    0.053       1.199       5.319
 4297.47      42.29693       3.938    0.052       1.187       5.248
 4298.47      42.01857       3.895    0.052       1.176       5.180
 4299.46      41.74557       3.854    0.052       1.164       5.113
 4300.45      41.47779       3.813    0.052       1.153       5.048
 4301.44      41.21509       3.773    0.051       1.143       4.985
 4302.43      40.95734       3.735    0.051       1.132       4.923
 4303.42      40.70443       3.697    0.051       1.122       4.863
 4304.41      40.45624       3.660    0.051       1.111       4.804
  4305.4      40.21264       3.624    0.050       1.101       4.747
 4306.39      39.97353       3.589    0.050       1.092       4.691
 4307.38       39.7388       3.555    0.050       1.082       4.637
 4308.37      39.50834       3.521    0.050       1.072       4.584
 4309.36      39.28206       3.489    0.050       1.063       4.533
 4310.35      39.05986       3.457    0.049       1.054       4.482
 4311.33      38.84164       3.426    0.049       1.045       4.433
 4312.32      38.62731       3.395    0.049       1.037       4.385
 4313.31      38.41678       3.365    0.049       1.028       4.338
  4314.3      38.20998       3.336    0.049       1.020       4.292
 4315.29       38.0068       3.308    0.048       1.011       4.248
 4316.28      37.80718       3.280    0.048       1.003       4.204
 4317.27      37.61104       3.253    0.048       0.995       4.161
 4318.25       37.4183       3.226    0.048       0.987       4.120
 4319.24      37.22888       3.200    0.048       0.980       4.079
 4320.23      37.04273       3.175    0.047       0.972       4.039
 4321.22      36.85975       3.150    0.047       0.965       4.000
 4322.21       36.6799       3.125    0.047       0.957       3.962
 4323.19       36.5031       3.101    0.047       0.950       3.925
 4324.18       36.3293       3.078    0.047       0.943       3.889
 4325.17      36.15842       3.055    0.047       0.936       3.853
 4326.15      35.99042       3.033    0.046       0.929       3.818
 4327.14      35.82522       3.011    0.046       0.923       3.784
 4328.13      35.66279       2.989    0.046       0.916       3.751
 4329.11      35.50306       2.968    0.046       0.910       3.719
  4330.1      35.34597       2.947    0.046       0.903       3.687
 4331.09      35.19148       2.927    0.046       0.897       3.656
 4332.07      35.03954       2.907    0.045       0.891       3.625
 4333.06       34.8901       2.888    0.045       0.885       3.595
 4334.04      34.74311       2.869    0.045       0.879       3.566
 4335.03      34.59853       2.850    0.045       0.873       3.537
 4336.01       34.4563       2.832    0.045       0.867       3.509
  4337.0      34.31639       2.814    0.045       0.861       3.482
 4337.99      34.17876       2.796    0.045       0.856       3.455
 4338.97      34.04336       2.779    0.045       0.850       3.429
 4339.96      33.91014       2.761    0.044       0.844       3.403
 4340.94      33.77909       2.745    0.044       0.839       3.378
 4341.92      33.65014       2.729    0.044       0.834       3.353
 4342.91      33.52328       2.712    0.044       0.829       3.329
 4343.89      33.39845       2.697    0.044       0.823       3.305
 4344.88      33.27563       2.681    0.044       0.818       3.282
 4345.86      33.15478       2.666    0.044       0.813       3.259
 4346.85      33.03587       2.651    0.044       0.808       3.237
 4347.83      32.91886       2.636    0.043       0.803       3.215
 4348.81      32.80373       2.622    0.043       0.799       3.193
  4349.8      32.69044       2.608    0.043       0.794       3.172
 4350.78      32.57896       2.594    0.043       0.789       3.152
 4351.76      32.46926       2.580    0.043       0.785       3.131
 4352.75      32.36131       2.567    0.043       0.780       3.112
 4353.73      32.25509       2.554    0.043       0.776       3.098
 4354.71      32.15057       2.541    0.043       0.771       3.083
 4355.69      32.04772       2.528    0.043       0.767       3.069
 4356.68      31.94652       2.515    0.042       0.762       3.055
 4357.66      31.84693       2.503    0.042       0.758       3.042
 4358.64      31.74894       2.491    0.042       0.754       3.028
 4359.62      31.65251       2.479    0.042       0.750       3.015
 4360.61      31.55764       2.468    0.042       0.746       3.001
 4361.59      31.46429       2.456    0.042       0.742       2.988
 4362.57      31.37243       2.445    0.042       0.738       2.976
 4363.55      31.28206       2.434    0.042       0.734       2.963
 4364.53      31.19315       2.423    0.042       0.730       2.950
 4365.51      31.10567       2.412    0.042       0.726       2.938
 4366.49       31.0196       2.402    0.041       0.722       2.926
 4367.48      30.93493       2.392    0.041       0.718       2.914
 4368.46      30.85164       2.382    0.041       0.715       2.902
 4369.44      30.76971       2.371    0.041       0.711       2.890
 4370.42      30.68911       2.362    0.041       0.707       2.879
  4371.4      30.60983       2.352    0.041       0.704       2.867
 4372.38      30.53186       2.343    0.041       0.700       2.856
 4373.36      30.45517       2.334    0.041       0.697       2.845
 4374.34      30.37974       2.324    0.041       0.693       2.834
 4375.32      30.30557       2.315    0.041       0.690       2.823
  4376.3      30.23264       2.306    0.041       0.686       2.812
 4377.28      30.16092       2.298    0.040       0.683       2.801
 4378.26       30.0904       2.289    0.040       0.680       2.791
 4379.24      30.02107       2.281    0.040       0.677       2.780
 4380.21      29.95292       2.272    0.040       0.673       2.770
 4381.19      29.88592       2.264    0.040       0.670       2.760
 4382.17      29.82007       2.256    0.040       0.667       2.750
 4383.15      29.75535       2.248    0.040       0.664       2.740
 4384.13      29.69175       2.241    0.040       0.661       2.730
 4385.11      29.62925       2.233    0.040       0.658       2.721
 4386.09      29.56784       2.226    0.040       0.655       2.711
 4387.06      29.50751       2.218    0.040       0.652       2.702
 4388.04      29.44824       2.211    0.040       0.649       2.693
 4389.02      29.39003       2.204    0.040       0.646       2.683
  4390.0      29.33286       2.197    0.039       0.643       2.674
 4390.98      29.27672       2.190    0.039       0.640       2.665
 4391.95      29.22159       2.184    0.039       0.637       2.656
 4392.93      29.16748       2.177    0.039       0.634       2.647
 4393.91      29.11436       2.171    0.039       0.631       2.639
 4394.88      29.06223       2.164    0.039       0.629       2.630
 4395.86      29.01107       2.158    0.039       0.626       2.622
 4396.84      28.96088       2.152    0.039       0.623       2.613
 4397.82      28.91165       2.146    0.039       0.620       2.605
 4398.79      28.86336       2.140    0.039       0.618       2.597
 4399.77        28.816       2.134    0.039       0.615       2.589
 4400.74      28.76958       2.128    0.039       0.612       2.581
 4401.72      28.72407       2.122    0.039       0.610       2.573
  4402.7      28.67947       2.117    0.039       0.607       2.565
 4403.67      28.63578       2.111    0.039       0.605       2.557
 4404.65      28.59297       2.106    0.038       0.602       2.549
 4405.62      28.55105       2.101    0.038       0.600       2.542
  4406.6         28.51       2.096    0.038       0.597       2.534
 4407.57      28.46982       2.090    0.038       0.595       2.527
 4408.55      28.43051       2.086    0.038       0.592       2.519
 4409.52      28.39204       2.081    0.038       0.590       2.512
  4410.5      28.35442       2.076    0.038       0.587       2.505
 4411.47      28.31764       2.071    0.038       0.585       2.498
 4412.45      28.28169       2.067    0.038       0.583       2.491
 4413.42      28.24656       2.062    0.038       0.580       2.484
  4414.4      28.21225       2.058    0.038       0.578       2.477
 4415.37      28.17875       2.053    0.038       0.576       2.470
 4416.35      28.14605       2.049    0.038       0.573       2.463
 4417.32      28.11416       2.045    0.038       0.571       2.456
 4418.29      28.08305       2.041    0.038       0.569       2.450
 4419.27      28.05273       2.037    0.038       0.566       2.443
 4420.24      28.02319       2.033    0.038       0.564       2.437
 4421.21      27.99443       2.029    0.037       0.562       2.430
 4422.19      27.96643       2.025    0.037       0.560       2.424
 4423.16       27.9392       2.021    0.037       0.558       2.417
 4424.13      27.91272       2.018    0.037       0.555       2.411
 4425.11        27.887       2.014    0.037       0.553       2.405
 4426.08      27.86202       2.011    0.037       0.551       2.399
 4427.05      27.83779       2.007    0.037       0.549       2.393
 4428.02       27.8143       2.004    0.037       0.547       2.387
  4429.0      27.79154       2.001    0.037       0.545       2.381
 4429.97      27.76951       1.998    0.037       0.543       2.375
 4430.94       27.7482       1.995    0.037       0.541       2.369
 4431.91      27.72762       1.992    0.037       0.538       2.363
 4432.88      27.70775       1.989    0.037       0.536       2.358
 4433.85      27.68859       1.986    0.037       0.534       2.352
 4434.83      27.67014       1.983    0.037       0.532       2.346
  4435.8      27.65239       1.981    0.037       0.530       2.341
 4436.77      27.63535       1.978    0.037       0.528       2.335
 4437.74        27.619       1.975    0.037       0.526       2.330
 4438.71      27.60335       1.973    0.037       0.524       2.327
 4439.68      27.58838       1.970    0.037       0.522       2.325
 4440.65      27.57411       1.968    0.036       0.520       2.323
 4441.62      27.56051       1.966    0.036       0.518       2.322
 4442.59       27.5476       1.963    0.036       0.516       2.320
 4443.56      27.53536       1.961    0.036       0.514       2.319
 4444.53       27.5238       1.959    0.036       0.512       2.317
  4445.5      27.51291       1.957    0.036       0.511       2.316
 4446.47      27.50269       1.955    0.036       0.509       2.315
 4447.44      27.49314       1.953    0.036       0.507       2.314
 4448.41      27.48425       1.951    0.036       0.505       2.313
 4449.38      27.47602       1.950    0.036       0.503       2.312
 4450.35      27.46845       1.948    0.036       0.501       2.312
 4451.32      27.46153       1.946    0.036       0.499       2.311
 4452.29      27.45527       1.945    0.036       0.497       2.311
 4453.26      27.44967       1.943    0.036       0.495       2.310
 4454.23      27.44471       1.942    0.036       0.493       2.310
  4455.2      27.44041       1.940    0.036       0.492       2.310
 4456.16      27.43675       1.939    0.036       0.490       2.310
 4457.13      27.43373       1.938    0.036       0.488       2.310
  4458.1      27.43136       1.937    0.036       0.486       2.310
 4459.07      27.42963       1.935    0.036       0.484       2.310
 4460.04      27.42854       1.934    0.036       0.482       2.311
  4461.0      27.42809       1.933    0.036       0.480       2.311
 4461.97      27.42828       1.932    0.036       0.479       2.312
 4462.94      27.42911       1.932    0.036       0.477       2.313
 4463.91      27.43057       1.930    0.035       0.475       2.313
 4464.88      27.43266       1.930    0.035       0.473       2.314
 4465.84      27.43539       1.929    0.035       0.471       2.315
 4466.81      27.43875       1.929    0.035       0.470       2.316
 4467.78      27.44275       1.928    0.035       0.468       2.318
 4468.74      27.44737       1.928    0.035       0.466       2.319
 4469.71      27.45263       1.927    0.035       0.464       2.320
 4470.68      27.45851       1.927    0.035       0.462       2.322
 4471.64      27.46503       1.926    0.035       0.460       2.323
 4472.61      27.47217       1.926    0.035       0.459       2.325
 4473.58      27.47994       1.926    0.035       0.457       2.327
 4474.54      27.48834       1.926    0.035       0.455       2.329
