   wave         C       sig  sigcal lorange hirange
3841.26  99.92818    22.352   0.096  16.767   6.782
3841.85  99.81893    22.382   0.096  16.882   6.975
3842.45  99.70953    22.412   0.097  16.996   7.167
3843.04  99.59999    22.443   0.097  17.107   7.359
3843.63  99.49031    22.473   0.097  17.217   7.549
3844.22   99.3805    22.503   0.098  17.325   7.739
3844.81  99.27054    22.532   0.098  17.432   7.927
 3845.4  99.16045    22.561   0.098  17.537   8.115
3845.99  99.05023    22.591   0.098  17.640   8.302
3846.58  98.93988    22.619   0.099  17.742   8.488
3847.17   98.8294    22.648   0.099  17.842   8.673
3847.77  98.71879    22.676   0.099  17.940   8.857
3848.36  98.60806    22.704   0.099  18.037   9.040
3848.95  98.49721    22.732   0.100  18.133   9.223
3849.54  98.38623    22.760   0.100  18.227   9.404
3850.13  98.27514    22.787   0.100  18.319   9.585
3850.72  98.16392    22.814   0.101  18.410   9.764
3851.31   98.0526    22.841   0.101  18.499   9.943
3851.91  97.94116    22.868   0.101  18.587  10.121
 3852.5  97.82961    22.894   0.101  18.674  10.297
3853.09  97.71795    22.920   0.102  18.759  10.473
3853.68  97.60619    22.945   0.102  18.842  10.648
3854.27  97.49432    22.971   0.102  18.925  10.822
3854.87  97.38234    22.995   0.102  19.006  10.995
3855.46  97.27027    23.020   0.103  19.085  11.167
3856.05  97.15809    23.045   0.103  19.163  11.338
3856.64  97.04582    23.068   0.103  19.240  11.508
3857.24  96.93345    23.092   0.103  19.315  11.677
3857.83  96.82099    23.115   0.104  19.390  11.845
3858.42  96.70843    23.138   0.104  19.462  12.013
3859.01  96.59579    23.161   0.104  19.534  12.179
3859.61  96.48306    23.183   0.104  19.604  12.344
 3860.2  96.37024    23.205   0.105  19.673  12.508
3860.79  96.25733    23.226   0.105  19.741  12.671
3861.39  96.14434    23.247   0.105  19.808  12.834
3861.98  96.03128    23.268   0.105  19.873  12.995
3862.57  95.91813    23.289   0.106  19.937  13.155
3863.17   95.8049    23.309   0.106  20.000  13.314
3863.76   95.6916    23.328   0.106  20.062  13.472
