    wave              C          sig    sigcal       lorange     hirange
 4254.41       86.66699        6.649     0.081        11.317       2.032
 4255.43       85.84235        6.553     0.080        11.084       2.050
 4256.46       85.03831        6.460     0.080        10.858       2.067
 4257.48       84.25413        6.369     0.079        10.639       2.083
  4258.5       83.48914        6.282     0.079        10.428       2.098
 4259.52       82.74266        6.198     0.079        10.222       2.112
 4260.54       82.01409        6.116     0.078        10.024       2.126
 4261.57       81.30281        6.036     0.078         9.831       2.139
 4262.59       80.60826        5.959     0.077         9.644       2.151
 4263.61        79.9299        5.883     0.077         9.463       2.164
 4264.63       79.26719        5.811     0.077         9.287       2.183
 4265.65       78.61964        5.740     0.076         9.117       2.200
 4266.67       77.98677        5.671     0.076         8.951       2.217
 4267.69       77.36811        5.605     0.076         8.790       2.233
 4268.71       76.76324        5.540     0.076         8.634       2.249
 4269.74       76.17173        5.477     0.075         8.509       2.263
 4270.76       75.59318        5.416     0.075         8.403       2.278
 4271.78       75.02719        5.356     0.075         8.299       2.291
  4272.8        74.4734        5.298     0.074         8.199       2.304
 4273.82       73.93145        5.241     0.074         8.100       2.316
 4274.83       73.40099        5.187     0.074         8.005       2.328
 4275.85        72.8817        5.133     0.074         7.912       2.340
 4276.87       72.37325        5.081     0.073         7.821       2.350
 4277.89       71.87535        5.030     0.073         7.732       2.361
 4278.91        71.3877        4.980     0.073         7.646       2.371
 4279.93       70.91001        4.932     0.073         7.562       2.380
 4280.95       70.44202        4.885     0.072         7.480       2.390
 4281.97       69.98346        4.839     0.072         7.400       2.398
 4282.99       69.53408        4.794     0.072         7.322       2.407
  4284.0       69.09364        4.751     0.072         7.245       2.415
 4285.02        68.6619        4.708     0.071         7.171       2.423
 4286.04       68.23864        4.667     0.071         7.098       2.430
 4287.06       67.82363        4.626     0.071         7.027       2.438
 4288.07       67.41667        4.586     0.071         6.958       2.445
 4289.09       67.01756        4.548     0.071         6.890       2.451
 4290.11       66.62609        4.510     0.070         6.824       2.458
 4291.13       66.24208        4.473     0.070         6.760       2.464
 4292.14       65.86535        4.437     0.070         6.697       2.470
 4293.16       65.49571        4.402     0.070         6.635       2.476
 4294.18         65.133        4.367     0.070         6.574       2.482
 4295.19       64.77705        4.334     0.069         6.515       2.487
 4296.21        64.4277        4.301     0.069         6.457       2.492
 4297.22        64.0848        4.269     0.069         6.401       2.497
 4298.24       63.74819        4.237     0.069         6.346       2.502
 4299.25       63.41773        4.207     0.069         6.292       2.507
 4300.27       63.09329        4.177     0.069         6.239       2.512
 4301.28       62.77472        4.147     0.069         6.187       2.516
  4302.3       62.46189        4.118     0.068         6.136       2.520
 4303.31       62.15467        4.090     0.068         6.086       2.525
 4304.33       61.85295        4.063     0.068         6.038       2.529
 4305.34        61.5566        4.036     0.068         5.990       2.533
 4306.36        61.2655        4.009     0.068         5.944       2.537
 4307.37       60.97954        3.983     0.068         5.898       2.540
 4308.39       60.69862        3.958     0.067         5.853       2.544
  4309.4       60.42262        3.934     0.067         5.809       2.548
 4310.41       60.15145        3.909     0.067         5.766       2.551
 4311.43       59.88499        3.885     0.067         5.724       2.554
 4312.44       59.62317        3.862     0.067         5.683       2.558
 4313.45       59.36587        3.839     0.067         5.642       2.561
 4314.47       59.11302        3.817     0.067         5.603       2.564
 4315.48       58.86452        3.795     0.067         5.564       2.568
 4316.49       58.62028        3.774     0.066         5.526       2.571
 4317.51       58.38022        3.753     0.066         5.488       2.574
 4318.52       58.14426        3.732     0.066         5.451       2.577
 4319.53       57.91232        3.712     0.066         5.415       2.580
 4320.54       57.68433        3.692     0.066         5.380       2.583
 4321.55        57.4602        3.673     0.066         5.346       2.585
 4322.57       57.23986        3.654     0.066         5.312       2.588
 4323.58       57.02325        3.635     0.066         5.278       2.591
 4324.59       56.81029        3.617     0.066         5.245       2.594
  4325.6       56.60092        3.599     0.065         5.213       2.597
 4326.61       56.39508        3.581     0.065         5.182       2.599
 4327.62       56.19269        3.564     0.065         5.151       2.602
 4328.63       55.99369        3.547     0.065         5.121       2.605
 4329.64       55.79803        3.531     0.065         5.091       2.607
 4330.65       55.60565        3.515     0.065         5.062       2.610
 4331.66       55.41649        3.499     0.065         5.033       2.613
 4332.67       55.23049        3.483     0.065         5.005       2.615
 4333.68        55.0476        3.468     0.065         4.977       2.618
 4334.69       54.86777        3.453     0.065         4.950       2.620
  4335.7       54.69094        3.438     0.065         4.923       2.623
 4336.71       54.51707        3.424     0.065         4.897       2.626
 4337.72        54.3461        3.409     0.064         4.871       2.628
 4338.73       54.17799        3.395     0.064         4.846       2.631
 4339.74       54.01269        3.382     0.064         4.821       2.633
 4340.75       53.85016        3.369     0.064         4.797       2.636
 4341.76       53.69035        3.355     0.064         4.773       2.639
 4342.76       53.53321        3.342     0.064         4.749       2.641
 4343.77       53.37872        3.329     0.064         4.726       2.644
 4344.78       53.22682        3.317     0.064         4.703       2.646
 4345.79       53.07747        3.305     0.064         4.681       2.649
  4346.8       52.93064        3.293     0.064         4.659       2.652
  4347.8       52.78628        3.282     0.064         4.638       2.654
 4348.81       52.64437        3.270     0.064         4.616       2.657
 4349.82       52.50485        3.259     0.064         4.596       2.660
 4350.82       52.36771        3.248     0.063         4.575       2.662
 4351.83        52.2329        3.237     0.063         4.555       2.665
 4352.84       52.10039        3.226     0.063         4.535       2.668
 4353.84       51.97015        3.216     0.063         4.516       2.671
 4354.85       51.84214        3.206     0.063         4.497       2.673
 4355.86       51.71633        3.196     0.063         4.478       2.676
 4356.86       51.59269        3.186     0.063         4.460       2.679
 4357.87        51.4712        3.176     0.063         4.442       2.682
 4358.88       51.35182        3.166     0.063         4.424       2.685
 4359.88       51.23452        3.157     0.063         4.407       2.688
 4360.89       51.11928        3.148     0.063         4.390       2.691
 4361.89       51.00606        3.139     0.063         4.373       2.694
  4362.9       50.89485        3.130     0.063         4.356       2.697
  4363.9       50.78561        3.122     0.063         4.340       2.700
 4364.91       50.67832        3.114     0.063         4.324       2.703
 4365.91       50.57295        3.105     0.063         4.308       2.706
 4366.92       50.46949        3.097     0.063         4.293       2.709
 4367.92        50.3679        3.089     0.063         4.278       2.712
 4368.92       50.26816        3.081     0.062         4.263       2.715
 4369.93       50.17025        3.074     0.062         4.248       2.719
 4370.93       50.07415        3.066     0.062         4.234       2.722
 4371.94       49.97984        3.059     0.062         4.220       2.725
 4372.94       49.88729        3.052     0.062         4.206       2.728
 4373.94       49.79648        3.045     0.062         4.192       2.732
 4374.95        49.7074        3.038     0.062         4.179       2.735
 4375.95       49.62002        3.031     0.062         4.166       2.739
 4376.95       49.53432        3.024     0.062         4.153       2.742
 4377.95       49.45029        3.018     0.062         4.140       2.746
 4378.96        49.3679        3.012     0.062         4.128       2.749
 4379.96       49.28715        3.006     0.062         4.115       2.753
 4380.96         49.208        2.999     0.062         4.103       2.756
 4381.96       49.13044        2.994     0.062         4.092       2.760
 4382.96       49.05446        2.988     0.062         4.080       2.764
 4383.97       48.98004        2.982     0.062         4.069       2.768
 4384.97       48.90716        2.977     0.062         4.058       2.772
 4385.97       48.83581        2.971     0.062         4.047       2.775
 4386.97       48.76597        2.966     0.062         4.036       2.779
 4387.97       48.69762        2.961     0.062         4.025       2.783
 4388.97       48.63076        2.956     0.062         4.015       2.787
 4389.97       48.56536        2.951     0.062         4.005       2.791
 4390.97       48.50141        2.946     0.062         3.995       2.795
 4391.97        48.4389        2.941     0.062         3.985       2.800
 4392.97       48.37782        2.937     0.062         3.975       2.804
 4393.97       48.31815        2.932     0.062         3.966       2.808
 4394.97       48.25987        2.928     0.062         3.957       2.812
 4395.97       48.20298        2.924     0.061         3.948       2.817
 4396.97       48.14747        2.920     0.061         3.939       2.821
 4397.97       48.09331        2.916     0.061         3.930       2.825
 4398.97       48.04051        2.912     0.061         3.922       2.830
 4399.97       47.98904        2.908     0.061         3.913       2.834
 4400.97        47.9389        2.904     0.061         3.905       2.839
 4401.97       47.89007        2.901     0.061         3.897       2.844
 4402.97       47.84255        2.897     0.061         3.889       2.848
 4403.97       47.79632        2.894     0.061         3.881       2.853
 4404.97       47.75137        2.891     0.061         3.874       2.858
 4405.96        47.7077        2.887     0.061         3.867       2.863
 4406.96       47.66529        2.884     0.061         3.859       2.868
 4407.96       47.62413        2.881     0.061         3.852       2.873
 4408.96       47.58422        2.878     0.061         3.845       2.878
 4409.95       47.54555        2.876     0.061         3.839       2.883
 4410.95        47.5081        2.873     0.061         3.832       2.888
 4411.95       47.47186        2.870     0.061         3.826       2.893
 4412.95       47.43684        2.868     0.061         3.819       2.899
 4413.94       47.40301        2.865     0.061         3.813       2.904
 4414.94       47.37038        2.863     0.061         3.807       2.909
 4415.94       47.33893        2.861     0.061         3.801       2.915
 4416.93       47.30866        2.859     0.061         3.796       2.920
 4417.93       47.27956        2.856     0.061         3.790       2.926
 4418.93       47.25162        2.855     0.061         3.785       2.931
 4419.92       47.22484        2.853     0.061         3.779       2.937
 4420.92        47.1992        2.851     0.061         3.774       2.943
 4421.91        47.1747        2.849     0.061         3.769       2.949
 4422.91       47.15134        2.848     0.061         3.764       2.955
  4423.9       47.12911        2.846     0.061         3.759       2.961
  4424.9       47.10799        2.845     0.061         3.755       2.967
 4425.89         47.088        2.843     0.061         3.750       2.973
 4426.89       47.06911        2.842     0.061         3.746       2.979
 4427.88       47.05133        2.841     0.061         3.742       2.985
 4428.88       47.03464        2.840     0.061         3.738       2.991
 4429.87       47.01905        2.839     0.061         3.734       2.998
 4430.87       47.00454        2.838     0.061         3.730       3.004
 4431.86       46.99112        2.837     0.061         3.726       3.011
 4432.86       46.97877        2.837     0.061         3.723       3.017
 4433.85        46.9675        2.836     0.061         3.719       3.024
 4434.84       46.95729        2.835     0.061         3.716       3.031
 4435.84       46.94815        2.835     0.061         3.712       3.037
 4436.83       46.94007        2.834     0.061         3.709       3.044
 4437.82       46.93304        2.834     0.061         3.706       3.051
 4438.82       46.92707        2.834     0.061         3.703       3.058
 4439.81       46.92214        2.834     0.061         3.701       3.065
  4440.8       46.91825        2.833     0.061         3.698       3.072
 4441.79        46.9154        2.833     0.061         3.696       3.079
 4442.79       46.91359        2.834     0.061         3.693       3.087
 4443.78       46.91282        2.834     0.061         3.691       3.094
 4444.77       46.91307        2.834     0.061         3.689       3.102
 4445.76       46.91434        2.834     0.061         3.687       3.109
 4446.75       46.91664        2.834     0.061         3.685       3.117
 4447.75       46.91997        2.835     0.061         3.683       3.124
 4448.74       46.92431        2.835     0.061         3.681       3.132
 4449.73       46.92966        2.836     0.061         3.680       3.140
 4450.72       46.93603        2.837     0.061         3.678       3.148
 4451.71        46.9434        2.837     0.061         3.677       3.156
  4452.7       46.95179        2.838     0.061         3.675       3.164
 4453.69       46.96118        2.839     0.061         3.674       3.172
 4454.68       46.97158        2.840     0.061         3.673       3.181
 4455.67       46.98298        2.841     0.061         3.672       3.189
 4456.66       46.99537        2.842     0.061         3.671       3.197
 4457.65       47.00877        2.844     0.061         3.671       3.206
 4458.64       47.02317        2.845     0.061         3.670       3.215
 4459.63       47.03856        2.846     0.061         3.670       3.223
 4460.62       47.05494        2.848     0.061         3.669       3.232
 4461.61       47.07233        2.849     0.061         3.669       3.241
  4462.6        47.0907        2.851     0.061         3.669       3.250
 4463.59       47.11006        2.853     0.061         3.669       3.259
 4464.58       47.13042        2.854     0.061         3.669       3.268
 4465.57       47.15177        2.856     0.061         3.669       3.277
 4466.56        47.1741        2.858     0.061         3.669       3.287
 4467.55       47.19743        2.860     0.061         3.669       3.296
 4468.53       47.22174        2.862     0.061         3.670       3.306
 4469.52       47.24705        2.864     0.061         3.670       3.315
 4470.51       47.27334        2.867     0.061         3.671       3.325
  4471.5       47.30062        2.869     0.061         3.672       3.335
 4472.49       47.32889        2.871     0.061         3.673       3.345
 4473.47       47.35815        2.873     0.061         3.674       3.355
 4474.46        47.3884        2.876     0.061         3.675       3.365
 4475.45       47.41964        2.878     0.061         3.676       3.375
 4476.44       47.45187        2.881     0.061         3.677       3.386
 4477.42        47.4851        2.884     0.061         3.678       3.396
 4478.41       47.51931        2.887     0.061         3.680       3.407
  4479.4       47.55452        2.890     0.061         3.682       3.417
 4480.38       47.59072        2.892     0.061         3.683       3.428
 4481.37       47.62791        2.896     0.061         3.685       3.439
 4482.36       47.66611        2.899     0.061         3.687       3.450
 4483.34        47.7053        2.902     0.061         3.689       3.461
 4484.33       47.74548        2.905     0.061         3.691       3.472
 4485.31       47.78667        2.909     0.061         3.693       3.484
  4486.3       47.82887        2.912     0.061         3.696       3.495
