   wave            C        sig  sigcal    lorange    hirange
3837.37   -142.73391     26.920   0.121     44.479     14.773
3837.96   -143.18432     27.129   0.121     45.060     14.694
3838.55   -143.63903     27.342   0.122     45.651     14.615
3839.14    -144.0981     27.559   0.122     46.250     14.535
3839.73   -144.56159     27.779   0.123     46.860     14.455
3840.32   -145.02956     28.003   0.123     47.480     14.374
3840.91   -145.50205     28.231   0.124     48.109     14.293
 3841.5   -145.97914     28.463   0.124     48.749     14.211
 3842.1   -146.46087     28.699   0.125     49.400     14.129
3842.69   -146.94731     28.939   0.126     50.062     14.047
3843.28   -147.43852     29.183   0.126     50.734     13.964
3843.87   -147.93456     29.432   0.127     51.418     13.880
3844.46    -148.4355     29.686   0.128     52.114     13.796
3845.05   -148.94141     29.943   0.128     52.822     13.712
3845.65   -149.45234     30.206   0.129     53.542     13.627
3846.24   -149.96837     30.473   0.130     54.274     13.541
3846.83   -150.48956     30.745   0.130     55.019     13.455
3847.42   -151.01599     31.022   0.131     55.778     13.368
3848.01   -151.54773     31.304   0.131     56.550     13.280
 3848.6   -152.08484     31.591   0.132     57.335     13.192
 3849.2   -152.62741     31.884   0.133     58.135     13.104
3849.79    -153.1755     32.181   0.134     58.949     13.014
3850.38    -153.7292     32.484   0.134     59.778     12.924
3850.97   -154.28859     32.793   0.135     60.623     12.834
3851.57   -154.85374     33.108   0.136     61.483     12.742
3852.16   -155.42473     33.429   0.137     62.359     12.650
3852.75   -156.00165     33.755   0.138     63.251     12.558
3853.34   -156.58458     34.088   0.138     64.160     12.464
3853.94   -157.17361     34.427   0.139     65.087     12.370
3854.53   -157.76882     34.773   0.140     66.031     12.275
3855.12   -158.37032     35.125   0.141     66.994     12.180
3855.71   -158.97818     35.484   0.142     67.975     12.083
3856.31   -159.59249     35.851   0.143     68.976     11.986
 3856.9   -160.21337     36.224   0.144     69.996     11.888
3857.49    -160.8409     36.604   0.145     71.036     11.789
3858.09   -161.47517     36.993   0.145     72.098     11.690
3858.68    -162.1163     37.388   0.147     73.181     11.589
3859.27   -162.76439     37.792   0.147     74.285     11.488
3859.87   -163.41954     38.204   0.148     75.413     11.385
3860.46   -164.08185     38.624   0.149     76.564     11.282
3861.05   -164.75144     39.053   0.150     77.738     11.178
3861.65   -165.42842     39.490   0.152     78.938     11.073
3862.24    -166.1129     39.937   0.153     80.162     10.967
3862.84     -166.805     40.393   0.153     81.413     10.859
3863.43   -167.50484     40.858   0.155     82.691     10.751
3864.02   -168.21254     41.333   0.156     83.996     10.642
3864.62   -168.92822     41.819   0.157     85.330     10.532
3865.21   -169.65202     42.314   0.158     86.693     10.420
3865.81   -170.38405     42.821   0.159     88.086     10.308
 3866.4   -171.12446     43.338   0.160     89.511     10.194
3866.99   -171.87337     43.866   0.162     90.967     10.079
3867.59   -172.63093     44.406   0.163     92.457      9.963
3868.18   -173.39728     44.959   0.164     93.981      9.845
3868.78   -174.17256     45.523   0.166     95.541      9.727
3869.37   -174.95691     46.100   0.167     97.136      9.607
3869.97    -175.7505     46.690   0.168     98.770      9.486
3870.56   -176.55347     47.294   0.169    100.442      9.363
3871.16   -177.36598     47.912   0.171    102.154      9.239
3871.75    -178.1882     48.544   0.172    103.908      9.114
3872.35   -179.02028     49.190   0.174    105.704      8.987
3872.94    -179.8624     49.852   0.175    107.545      8.859
3873.54   -180.71473     50.530   0.177    109.431      8.729
3874.13   -181.57744     51.225   0.178    111.365      8.597
3874.73   -182.45072     51.936   0.180    113.348      8.464
3875.32   -183.33475     52.664   0.182    115.381      8.330
3875.92   -184.22973     53.410   0.183    117.467      8.193
3876.51   -185.13584     54.176   0.185    119.608      8.055
3877.11   -186.05329     54.960   0.186    121.805      7.915
 3877.7   -186.98227     55.765   0.188    124.060      7.774
 3878.3     -187.923     56.590   0.190    126.376      7.630
 3878.9    -188.8757     57.436   0.192    128.754      7.485
3879.49   -189.84057     58.305   0.194    131.198      7.338
3880.09   -190.81784     59.197   0.196    133.709      7.189
3880.68   -191.80775     60.112   0.198    136.291      7.037
3881.28   -192.81052     61.053   0.200    138.946      6.884
3881.88   -193.82641     62.019   0.202    141.677      6.728
3882.47   -194.85566     63.012   0.204    144.486      6.571
3883.07   -195.89852     64.033   0.206    147.378      6.410
3883.66   -196.95525     65.083   0.208    150.355      6.248
3884.26   -198.02612     66.162   0.210    153.421      6.083
3884.86    -199.1114     67.273   0.213    156.580      5.916
3885.45   -200.21138     68.417   0.216    159.836      5.747
3886.05   -201.32635     69.594   0.218    163.192      5.574
3886.65    -202.4566     70.807   0.220    166.653      5.400
3887.24   -203.60243     72.057   0.223    170.223      5.222
3887.84   -204.76416     73.346   0.225    173.909      5.042
3888.44   -205.94211     74.674   0.229    177.714      4.858
3889.04   -207.13661     76.045   0.231    181.643      4.672
3889.63   -208.34799     77.459   0.234    185.704      4.483
3890.23   -209.57662     78.920   0.237    189.902      4.291
3890.83   -210.82284     80.428   0.240    194.243      4.095
3891.42   -212.08702     81.987   0.244    198.734      3.896
3892.02   -213.36954     83.599   0.247    203.383      3.694
3892.62   -214.67079     85.266   0.250    208.197      3.488
3893.22   -215.99117     86.992   0.253    213.185      3.279
3893.81   -217.33109     88.778   0.257    218.355      3.066
3894.41   -218.69098     90.629   0.260    223.717      2.849
3895.01   -220.07127     92.547   0.264    229.281      2.629
3895.61   -221.47241     94.537   0.268    235.057      2.404
 3896.2   -222.89487     96.601   0.272    241.058      2.175
 3896.8   -224.33911     98.744   0.276    247.295      1.942
 3897.4   -225.80564    100.971   0.281    253.781      1.704
 3898.0   -227.29495    103.286   0.285    260.531      1.462
 3898.6   -228.80756    105.694   0.290    267.560      1.216
3899.19   -230.34402    108.201   0.294    274.884      0.964
3899.79   -231.90488    110.813   0.300    282.520      0.707
3900.39    -233.4907    113.535   0.305    290.489      0.446
3900.99   -235.10208    116.376   0.311    298.809      0.179
3901.59   -236.73963    119.342   0.316    307.505      0.000
3902.19   -238.40397    122.441   0.322    316.598      0.000
3902.79   -240.09574    125.683   0.328    326.117      0.000
3903.38   -241.81563    129.077   0.334    336.088      0.000
3903.98   -243.56431    132.633   0.341    346.544      0.000
3904.58   -245.34251    136.362   0.348    357.517      0.000
3905.18   -247.15095    140.278   0.355    369.045      0.000
3905.78   -248.99041    144.393   0.364    381.167      0.000
3906.38   -250.86166    148.723   0.372    393.929      0.000
3906.98   -252.76553    153.285   0.380    407.378      0.000
3907.58   -254.70285    158.095   0.389    421.569      0.000
3908.18   -256.67451    163.176   0.398    436.561      0.000
3908.78   -258.68139    168.548   0.408    452.419      0.000
3909.38   -260.72444    174.237   0.418    469.215      0.000
3909.98   -262.80463    180.271   0.429    487.032      0.000
3910.57   -264.92296    186.679   0.441    505.959      0.000
3911.17   -267.08047    193.498   0.453    526.098      0.000
3911.77   -269.27824    200.765   0.466    547.562      0.000
3912.37   -271.51738    208.524   0.480    570.480      0.000
